locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
546631,"Cupkates Bakery, LLC",Truck,101000,01ST ST: STEVENSON ST to JESSIE ST (21 - 56),50 01ST ST,3708055,3708,55,14MFF-0102,APPROVED,Cupcakes,6013063.33,2115738.283,37.79014907,-122.3986582,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0102&ExportPDF=1&Filename=14MFF-0102_schedule.pdf,,6/2/14 15:32,Jun  2 2014 12:23PM,0,3/15/15 0:00,"(37.7901490874965, -122.398658184594)"
526147,Cheese Gone Wild,Truck,106000,01ST ST: NATOMA ST to HOWARD ST (165 - 199),400 HOWARD ST,3720008,3720,8,14MFF-0035,APPROVED,Grilled Cheese Sandwiches,6013858.06,2115347.095,37.78911921,-122.395881,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0035&ExportPDF=1&Filename=14MFF-0035_schedule.pdf,,3/13/14 12:25,Mar 13 2014 12:14PM,0,3/15/15 0:00,"(37.7891192214396, -122.395881039325)"
526452,Mini Mobile Food Catering,Truck,110000,01ST ST: CLEMENTINA ST to FOLSOM ST (245 - 299),245 01ST ST,3737012,3737,12,14MFF-0059,APPROVED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6014220.898,2114895.75,37.7879001,-122.394594,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0059&ExportPDF=1&Filename=14MFF-0059_schedule.pdf,,3/14/14 13:11,Mar 14 2014  1:05PM,1,3/15/15 0:00,"(37.7879001115912, -122.394594036195)"
554540,Steve's Mobile Deli,Truck,113000,01ST ST: LANSING ST to HARRISON ST \ I-80 E ON RAMP (362 - 399),390 01ST ST,3749058,3749,58,14MFF-0107,APPROVED,Cold Truck: Pre-packaged sandwiches: Burgers: Hot Dogs: Muffin Sandwiches: Enchiladas: Bagels: Burritos: Salads: Snacks: Beverages,6014531.475,2114230.765,37.78609146,-122.3934729,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0107&ExportPDF=1&Filename=14MFF-0107_schedule.pdf,,6/24/14 13:55,Jun 24 2014  1:49PM,1,3/15/15 0:00,"(37.7860914772, -122.39347293179)"
525587,"Expresso Subito, LLC.",Truck,131000,02ND ST: JESSIE ST to MISSION ST (69 - 99),84 02ND ST,3707011,3707,11,14MFF-0019,APPROVED,Espresso Drinks,6012576.846,2115003.735,37.78810506,-122.4002898,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0019&ExportPDF=1&Filename=14MFF-0019_schedule.pdf,,3/11/14 12:48,Mar 11 2014 12:27PM,0,3/15/15 0:00,"(37.7881050754192, -122.400289778395)"
559777,Mang Hang Catering,Truck,131000,02ND ST: JESSIE ST to MISSION ST (69 - 99),85 02ND ST,3708019,3708,19,14MFF-0109,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6012696.635,2115129.488,37.78845703,-122.3998842,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0109&ExportPDF=1&Filename=14MFF-0109_schedule.pdf,,,Jul 10 2014  2:56PM,1,3/15/15 0:00,"(37.7884570426015, -122.399884160556)"
519468,Senor Sisig,Truck,132000,02ND ST: MISSION ST to MINNA ST (100 - 130),120 02ND ST,3722002,3722,2,14MFF-0006,APPROVED,Filipino fusion food: taco: burrito: nachos: rice plates,6012781.49,2114784.339,37.78751406,-122.3995663,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0006&ExportPDF=1&Filename=14MFF-0006_schedule.pdf,,3/21/14 11:18,Feb 24 2014  9:36AM,0,3/15/15 0:00,"(37.7875140745116, -122.399566331419)"
528137,Quan Catering,Truck,135000,02ND ST: HOWARD ST to TEHAMA ST (200 - 227),222 02ND ST,3735063,3735,63,14MFF-0068,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013157.288,2114341.766,37.7863198,-122.3982351,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0068&ExportPDF=1&Filename=14MFF-0068_schedule.pdf,,3/19/14 14:47,Mar 19 2014  2:40PM,1,3/15/15 0:00,"(37.7863198120587, -122.398235074239)"
559867,Celtic Catering,Truck,138000,02ND ST: FOLSOM ST to DOW PL (300 - 353),611 FOLSOM ST,3750 087,3750,87,14MFF-0110,APPROVED,Eritrean & Irish Fusion Burgers: Irish Stew: Eritrean Stew:  Shepard's Pie: Beverages,6013638.205,2113844.023,37.78497989,-122.3965363,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0110&ExportPDF=1&Filename=14MFF-0110_schedule.pdf,,7/11/14 11:41,Jul 11 2014 11:24AM,0,3/15/15 0:00,"(37.7849799008494, -122.396536309744)"
521735,Linda's Catering,Truck,142000,02ND ST: BRYANT ST to TABER PL (500 - 518),501 02ND ST,3774067,3774,67,14MFF-0013,APPROVED,Hot Dogs: Hamburgers: Nachos: Steaks: Pastas: Asian Dishes: Tri-Tip Sandwiches: Sodas & Water,6014675.196,2113164.273,37.7831711,-122.392901,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0013&ExportPDF=1&Filename=14MFF-0013_schedule.pdf,,3/6/14 15:59,Mar  6 2014  3:53PM,1,3/15/15 0:00,"(37.7831711181211, -122.392901049469)"
